TEAM,MATCH_UP,GAME_DATE,W_L,MIN,PTS,FGM,FGA,FGp,PM_3,PA_3,Pp_3,FTM,FTA,FTp,OREB,DREB,REB,AST,TOV,STL,BLK,PF,plus_minus
MIN,MIN @ LVA,5/19/22,L,40,87,31,68,45.6,6,21,28.6,19,22,86.4,8,28,36,21,12,5,5,21,-6
CHI,CHI @ SEA,5/18/22,L,40,71,30,65,46.2,6,17,35.3,5,7,71.4,8,22,30,26,19,7,1,15,-3
SEA,SEA vs. CHI,5/18/22,W,40,74,29,70,41.4,8,28,28.6,8,14,57.1,12,23,35,26,17,10,3,14,3
CON,CON @ NYL,5/17/22,W,40,92,30,62,48.4,7,15,46.7,25,28,89.3,5,21,26,16,18,16,2,21,27
ATL,ATL @ IND,5/17/22,W,40,101,34,63,54,10,22,45.5,23,26,88.5,4,31,35,19,15,8,2,26,22
IND,IND vs. ATL,5/17/22,L,40,79,30,80,37.5,6,30,20,13,19,68.4,15,21,36,22,12,6,6,22,-22
PHO,PHO @ LVA,5/17/22,L,40,74,26,60,43.3,8,25,32,14,15,93.3,3,28,31,19,18,4,2,25,-12
DAL,DAL vs. WAS,5/17/22,L,40,68,25,61,41,7,21,33.3,11,16,68.8,4,23,27,16,16,6,2,12,-16
LAS,LAS vs. MIN,5/17/22,L,40,84,32,67,47.8,8,20,40,12,17,70.6,7,19,26,23,14,10,6,20,-3
MIN,MIN @ LAS,5/17/22,W,40,87,31,64,48.4,9,17,52.9,16,19,84.2,13,27,40,19,19,9,2,21,3
NYL,NYL vs. CON,5/17/22,L,40,65,22,52,42.3,7,22,31.8,14,18,77.8,5,23,28,13,32,9,2,22,-27
LVA,LVA vs. PHO,5/17/22,W,40,86,29,62,46.8,9,23,39.1,19,26,73.1,3,26,29,19,10,6,3,20,12
WAS,WAS @ DAL,5/17/22,W,40,84,34,66,51.5,8,16,50,8,11,72.7,7,30,37,23,13,10,2,17,16
NYL,NYL vs. DAL,5/15/22,L,40,71,29,60,48.3,7,22,31.8,6,11,54.5,4,24,28,18,18,7,4,20,-10
DAL,DAL @ NYL,5/15/22,W,40,81,28,63,44.4,9,20,45,16,20,80,8,25,33,16,15,6,2,19,10
IND,IND vs. ATL,5/15/22,L,40,79,28,68,41.2,11,23,47.8,12,19,63.2,8,21,29,19,17,4,2,23,-6
ATL,ATL @ IND,5/15/22,W,40,85,28,57,49.1,6,17,35.3,23,30,76.7,4,28,32,12,20,8,3,23,6
PHO,PHO @ SEA,5/14/22,W,40,69,26,69,37.7,12,32,37.5,5,8,62.5,7,35,42,19,16,6,2,14,5
MIN,MIN vs. CHI,5/14/22,L,40,78,29,59,49.2,6,16,37.5,14,23,60.9,9,28,37,23,15,2,3,21,-4
SEA,SEA vs. PHO,5/14/22,L,40,64,24,77,31.2,8,31,25.8,8,10,80,14,25,39,12,10,8,8,11,-5
LAS,LAS @ CON,5/14/22,L,40,60,19,54,35.2,3,12,25,19,22,86.4,8,13,21,11,20,11,2,23,-17
CHI,CHI @ MIN,5/14/22,W,40,82,28,69,40.6,8,24,33.3,18,20,90,8,20,28,23,7,9,4,20,4
CON,CON vs. LAS,5/14/22,W,40,77,28,70,40,5,20,25,16,21,76.2,19,26,45,17,20,14,2,23,17
LVA,LVA @ ATL,5/13/22,W,40,96,32,68,47.1,16,35,45.7,16,19,84.2,6,25,31,24,13,11,8,16,23
IND,IND @ NYL,5/13/22,W,45,92,31,81,38.3,7,22,31.8,23,29,79.3,16,41,57,12,21,9,5,23,6
DAL,DAL @ WAS,5/13/22,W,40,94,31,65,47.7,13,29,44.8,19,23,82.6,9,20,29,22,11,8,3,20,8
ATL,ATL vs. LVA,5/13/22,L,40,73,28,65,43.1,8,17,47.1,9,14,64.3,7,29,36,16,21,5,6,19,-23
WAS,WAS vs. DAL,5/13/22,L,40,86,31,59,52.5,13,25,52,11,17,64.7,7,25,32,23,21,6,3,19,-8
NYL,NYL vs. IND,5/13/22,L,45,86,29,80,36.3,10,25,40,18,21,85.7,5,28,33,17,17,12,4,22,-6
CHI,CHI vs. NYL,5/11/22,W,40,83,31,68,45.6,10,22,45.5,11,13,84.6,7,29,36,20,8,5,6,14,33
SEA,SEA @ PHO,5/11/22,L,40,77,27,71,38,11,28,39.3,12,16,75,9,20,29,20,16,10,3,21,-20
ATL,ATL vs. LAS,5/11/22,W,40,77,24,69,34.8,13,30,43.3,16,19,84.2,7,32,39,14,14,3,1,20,2
LAS,LAS @ ATL,5/11/22,L,40,75,25,72,34.7,6,19,31.6,19,23,82.6,9,27,36,16,8,5,8,16,-2
NYL,NYL @ CHI,5/11/22,L,40,50,20,60,33.3,2,15,13.3,8,9,88.9,6,25,31,16,15,3,5,14,-33
PHO,PHO vs. SEA,5/11/22,W,40,97,36,63,57.1,12,21,57.1,13,17,76.5,5,32,37,26,18,6,3,22,20
IND,IND vs. MIN,5/10/22,W,40,82,31,70,44.3,9,20,45,11,15,73.3,9,25,34,23,18,12,7,14,6
WAS,WAS vs. LVA,5/10/22,W,40,89,33,74,44.6,9,27,33.3,14,17,82.4,8,30,38,21,9,10,7,18,13
MIN,MIN @ IND,5/10/22,L,40,76,32,77,41.6,4,19,21.1,8,14,57.1,15,25,40,23,19,8,3,16,-6
LVA,LVA @ WAS,5/10/22,L,40,76,27,65,41.5,6,17,35.3,16,18,88.9,5,29,34,16,16,4,7,16,-13
IND,IND vs. LAS,5/8/22,L,40,77,29,78,37.2,10,26,38.5,9,14,64.3,12,21,33,20,19,11,6,22,-10
WAS,WAS @ MIN,5/8/22,W,40,78,29,69,42,7,21,33.3,13,13,100,8,30,38,21,16,5,1,21,12
SEA,SEA @ LVA,5/8/22,L,40,74,27,76,35.5,11,34,32.4,9,11,81.8,7,23,30,17,11,6,8,19,-11
LVA,LVA vs. SEA,5/8/22,W,40,85,30,67,44.8,7,18,38.9,18,22,81.8,7,38,45,18,16,5,10,21,11
MIN,MIN vs. WAS,5/8/22,L,40,66,23,66,34.8,5,15,33.3,15,22,68.2,10,26,36,17,17,6,8,18,-12
LAS,LAS @ IND,5/8/22,W,40,87,34,71,47.9,1,10,10,18,20,90,11,30,41,18,21,15,5,16,10
DAL,DAL vs. ATL,5/7/22,L,40,59,17,70,24.3,4,19,21.1,21,27,77.8,11,28,39,9,19,12,7,19,-7
CON,CON @ NYL,5/7/22,L,40,79,27,64,42.2,4,17,23.5,21,28,75,11,23,34,16,16,10,6,19,-2
NYL,NYL vs. CON,5/7/22,W,40,81,28,59,47.5,10,25,40,15,21,71.4,7,20,27,17,17,9,4,25,2
ATL,ATL @ DAL,5/7/22,W,40,66,20,63,31.7,7,27,25.9,19,22,86.4,9,38,47,11,24,10,9,24,7
LVA,LVA @ PHO,5/6/22,W,40,106,39,67,58.2,11,21,52.4,17,18,94.4,5,33,38,27,16,2,5,23,18
IND,IND @ WAS,5/6/22,L,40,70,30,72,41.7,5,22,22.7,5,8,62.5,12,30,42,17,18,3,4,20,-14
CHI,CHI vs. LAS,5/6/22,L,45,91,36,70,51.4,7,22,31.8,12,15,80,6,25,31,28,25,11,2,22,-7
PHO,PHO vs. LVA,5/6/22,L,40,88,33,73,45.2,6,24,25,16,19,84.2,6,20,26,20,10,6,2,16,-18
SEA,SEA vs. MIN,5/6/22,W,40,97,35,66,53,12,25,48,15,15,100,4,25,29,26,14,14,8,17,23
LAS,LAS @ CHI,5/6/22,W,45,98,32,65,49.2,7,19,36.8,27,33,81.8,8,28,36,20,22,19,4,20,7
WAS,WAS vs. IND,5/6/22,W,40,84,31,69,44.9,4,18,22.2,18,20,90,6,25,31,20,8,4,5,12,14
MIN,MIN @ SEA,5/6/22,L,40,74,31,79,39.2,4,21,19,8,11,72.7,13,24,37,23,17,9,3,17,-23
